product_id,product_name,authors,price,seller_id,seller_type,rating_average,review_count,order_count,url,image,description,type_book,product_index
12416734,"sách đọc sách, điểm sách",NGUYỄN NGỌC SƠN,40000,1,OFFICIAL_STORE,4.5,16,206.0,https://tiki.vn/doc-sach-diem-sach-p12416734.html?spid=12416735,https://salt.tikicdn.com/cache/280x280/ts/product/49/85/9d/acb55141fd5ee83e606cdea42d8f93c3.jpg,"Đọc sách - đó là bạn đang trải nghiệm. Điểm sách - đó là bạn đang đúc kết trải nghiệm của mình. Người thì dùng nó để lưu giữ những cảm xúc bên trong, cũng có có người dùng nó để biểu đạt ra bên ngoài, khuyến khích người khác tìm đọc và rút tỉa những bài học khôn ngoan cho riêng mình
Làm thể nào để đọc cho dễ hiểu và viết cho thật hay?
Review là điểm sách hay giới thiệu sách?
Đặt tiêu đề thế nào cho cuốn hút?
Các bí quyết để viết một bài review hấp dẫn. Tất cả câu hỏi trên sẽ được trình bày một cách rõ ràng và chi tiết trong Đọc sách - Điểm sách.",Sách tiếng Việt/Sách kỹ năng sống/Sách tư duy - Kỹ năng sống,152
10752430,sách thay đổi,"CHIP HEATH, DAN HEATH",84000,1,OFFICIAL_STORE,4.5,19,370.0,https://tiki.vn/sach-thay-doi-p10752430.html?spid=10752431,https://salt.tikicdn.com/cache/280x280/ts/product/23/ff/dc/b80980c2b7223acaf5a03602cb985d05.jpg,"THAY ĐỔI bàn về cách thức thực hiện sự thay đổi, khi sức ỳ và những thói quen đã trở nên thâm căn cố đế. Toàn bộ “triết lý” của cuốn sách tập trung vào 3 ý chính:
- Định hướng cho Người Quản Tượng: tác động đến lý trí bằng cách tìm kiếm gương sáng, chỉ rõ mục tiêu.
- Động viên Con Voi: tác động đến cảm xúc.
- Tạo dựng Con Đường: phá vỡ môi trường cũ, điều chỉnh môi trường, quy tụ đồng minh để tạo điều kiện cho thay đổi diễn ra.
Cuốn sách đưa ra những ví dụ sinh động - có cả những ví dụ liên quan đến Việt Nam - để minh hoạ cho ý tưởng. Ngoài ra còn có những bài thực hành để ứng dụng các ý này vào trường hợp thực tế. Sách dễ đọc, dễ hiểu và dễ ứng dụng vào thực tế.",Sách tiếng Việt/Sách kỹ năng sống/Sách tư duy - Kỹ năng sống,143
273691904,sách đồng hồ,RICHARD PAUL EVANS,69300,1,OFFICIAL_STORE,5.0,1,10.0,https://tiki.vn/sach-dong-ho-p273691904.html?spid=273691905,https://salt.tikicdn.com/cache/280x280/ts/product/81/84/f3/ab993fcbc489e637d9254fcc9087497d.jpg,"TIỀN TRUYỆN CỦA CHIẾC HỘP GIÁNG SINH, TÁC PHẨM ĐÃ LÀM LAY ĐỘNG TÂM CAN CỦA HÀNG TRIỆU ĐỘC GIẢ TRÊN THẾ GIỚI!
""Có phải trong cuộc sống này, con người ta nắm lấy niềm vui chỉ để lo sợ rằng nó sẽ tan biến? Cái giá của hạnh phúc là nguy cơ đánh mất nó.""
Những dòng nhật ký đầy dự cảm của David Parkin đưa ta quay ngược đồng hồ trở về nước Mỹ những năm đầu thế kỷ hai mươi, lần theo cuộc đời của David và MaryAnne khi họ tìm thấy nhau, trải qua thăng hoa ngây ngất lẫn tuyệt vọng tận cùng, để rồi khám phá ra sức mạnh của lòng trung thành, sự khoan thứ. Và vượt trên tất cả là tình yêu, là sự tử tế còn sống mãi, dù đôi khi tưởng như rung rinh sắp tắt lụi bởi kẹt giữa cám dỗ và hoài nghi.
Cũng giống như tác phẩm kinh điển Chiếc hộp Giáng sinh, ""Đồng hồ"" đã kể lại một câu chuyện đẹp đẽ, sưởi ấm tâm hồn con người giữa mùa đông lạnh giá, là câu chuyện để đọc trên chiếc ghế sofa, trong căn phòng ấm sực. Để rồi, tích tắc, tích tắc, tích tắc. Tiếng đồng hồ điểm giây giữa không gian vắng lặng như muốn nhắn nhủ ta rằng: Hãy sống như không có ngày mai, bởi sau tất cả, chúng ta chỉ là những ngôi sao băng vụt sáng trên bầu trời cuộc đời.",Sách tiếng Việt/Sách kỹ năng sống/Sách tư duy - Kỹ năng sống,659
273386447,sách lẽ sống,TARA SWART,54400,1,OFFICIAL_STORE,5.0,8,80.0,https://tiki.vn/sach-le-song-p273386447.html?spid=273386451,https://salt.tikicdn.com/cache/280x280/ts/product/dd/fc/a1/dc4cf95ae2348980d08949cdeeb8b2ba.jpg,"- Việc tin yêu cuộc sống không chỉ có ý nghĩa mà còn khả thi trong mọi hoàn cảnh -
Nhà thần kinh học, bác sĩ tâm thần người Áo Viktor Frankl đang ở đỉnh cao trong cả sự
nghiệp và hạnh phúc cá nhân khi mồi lửa của chiến tranh thế giới thứ hai tàn phá quê hương
ông. Viktor Frankl đã mất tất cả trong ba năm bị giam cầm, hành hạ trong các trại tập trung
của Đức quốc xã. Những trải nghiệm kinh hoàng của trại tập trung và những đau thương, mất
mát không những không quật ngã được Viktor Frankl, mà còn trở thành nguồn động lực giúp
ông cho ra đời một trong những học thuyết và liệu pháp quan trọng, ý nghĩa nhất của tâm lý
học: “Liệu pháp ý nghĩa – Logotherapy”.
Sau khi rời khỏi tập trung, tác giả cuốn sách “Đi tìm lẽ sống” đã cống hiến toàn bộ thời gian
và trí lực cho công tác bệnh viện, viết sách, giáo dục cho người trưởng thành, tổ chức các
buổi diễn thuyết xoay quanh chủ đề ý nghĩa cuộc sống.
Cuốn sách “Lẽ sống” tập hợp ba bài giảng của Viktor Frankl vào năm 1946, tập trung vào
những phần quan trọng nhất và có giá trị phổ quát nhất trong chuỗi bài diễn thuyết của ông,
cô đọng toàn bộ tư tưởng mà vị bác sĩ, nhà trị liệu lừng danh này đã trình bày trong các ấn
phẩm về sau. Có thể nói, đặt cạnh những tên tuổi lẫy lừng như Sigmund Freud hay Alfred
Adler, cái tên Viktor Frankl từ lâu đã là trở thành biểu tượng của sức sống và niềm tin.
Lẽ sống chia thành ba phần chính, xoay quanh ý nghĩa cuộc đời trong những hoàn cảnh khác
nhau, xét theo nhiều khía cạnh.
Ở phần thứ nhất “Luận về ý nghĩa và giá trị cuộc đời” xoay quanh vấn đề tự sát và ý nghĩa
cuộc sống trong những hoàn cảnh mà giá trị sự sống đã bị triệt tiêu, về tính độc nhất và tính
cá nhân của mỗi người. Chính tính độc nhất và tính cá nhân của con người tạo ra giá trị cho
họ, một giá trị liên quan tới cộng đồng và không bao giờ đánh mất ý nghĩa dẫu mọi thứ khác
đã bị tước đi. Từ đó, Frankl đi đến kết luận rằng chúng ta sống là để bị tra vấn, để trả lời câu
hỏi cuộc đời, rằng mỗi người phải có trách nhiệm với sự tồn tại của chính mình, rằng cuộc
sống là nhiệm vụ được giao phó cho chúng ta trong từng khoảnh khắc – nhiệm vụ càng khó
khăn thì cuộc sống càng thêm ý nghĩa, và nếu cuộc sống có ý nghĩa thì đau khổ cũng có ý
Trong các tác phẩm viết và cả những bài diễn thuyết của mình, Frank không ngừng động viên
chúng ta quay về tìm gặp chính mình khi mà số phận đã tước đi của ta mọi thứ không thiết
yếu. Khi “tiền bạc, quyền bính, danh vọng… trở thành những thứ bấp bênh” hoặc bị tước
đoạt hoàn toàn, khi cuộc sống không còn cho ta lựa chọn nào khác, ta buộc phải quay về với
chính mình. Frankl luôn tin tưởng một cách sâu sắc rằng mỗi con người đều được thôi thúc
bởi khao khát tìm ra ý nghĩa cuộc sống, và ông tin rằng về với chính mình là bước đầu tiên
trên con đường đi tìm ý nghĩa ấy.
Còn trong “Luận về ý nghĩa và giá trị cuộc đời” tác giả tập trung tìm kiếm ý nghĩa cuộc đời
trong hoàn cảnh bệnh tật, đau khổ và cái chết. Frankl cũng dành một dung lượng lớn để bàn
về thẩm quyền của bác sĩ đối với sinh mệnh của bệnh nhân, về giá trị của sinh mệnh, lấy đó
làm luận điểm bổ sung cho kết luận của phần trước về giá trị con người, “trong đó con người,
với tư cách là một cá thể độc nhất luôn hướng về chính mình, vẫn có thể đạt được giá trị và ý
nghĩa cuộc đời: đó là thông qua con đường yêu thương, hoặc tốt hơn là được yêu thương”.
Cuối cùng, Frankl đi đến kết luận rằng ý nghĩa cuộc đời là có tính tuyệt đối và bất biến.
“Thí nghiệm quyết định” là phần nói về những trải nghiệm trong trại tập trung, về tác động
của số phận, về quá trình tư tưởng của tác giả để đi đến những kết luận về ý nghĩa cuộc đời
và hình thành Liệu pháp ý nghĩa. Từ quan sát và chiêm nghiệm về trải nghiệm của người tù,
Frankl điểm qua các quá trình tâm lý của con người khi đối diện với hoàn cảnh bị triệt tiêu
nhân phẩm và cái chết chực chờ, từ đó ông đi đến kết luận rằng con người vốn sở hữu thứ tự
do bất biến, bất diệt, không thể tước đoạt bởi hoàn cảnh, rằng người ta chỉ thật sự sụp đổ khi
đánh mất điểm tựa nội tại của mình.
Cũng trong quan sát này, Frankl đặt liệu pháp tâm lý của mình vào một thí nghiệm quyết
định, có thể chứng minh liệu pháp này là đúng và loại trừ được mọi lập luận phản bác. Cay
đắng nhưng cũng tài tình thay, chính tình cảnh tù đày lại cho Frankl đầy đủ điều kiện để xây
dựng, khảo sát và chứng minh cho liệu pháp của mình. Con người đi qua hầu hết mọi đau khổ
của đời người ấy, đủ sức thông thấu ý nghĩa của đau khổ, tính độc nhất và cá nhân của đau
khổ, mạnh mẽ kết luận rằng việc tin yêu cuộc sống không chỉ có ý nghĩa trong mọi hoàn cảnh
mà còn khả thi trong mọi hoàn cảnh.
Mục đích của cuốn sách này là gửi gắm đến quý độc giả thông điệp rằng con người – mặc
cho những thử thách cam go và cái chết, mặc cho nỗi đau khổ từ bệnh tật thể chất hay tinh
thần, mặc cho sự tàn nhẫn của số phận trong trại tập trung – vẫn có thể tin yêu cuộc sống, dẫu
có thế nào.
Viktor E. Frankl (1905-1997) là Giáo sư Thần kinh học và Tâm thần học tại Đại học
Vienna. Trong 25 năm, ông là người đứng đầu Phòng khám thần kinh Vienna. ""Liệu pháp
thứ ba ở Vienna"". 40 cuốn sách của Frankl được dịch ra 54 thứ tiếng, trong đó cuốn sách ""Đi
tìm lẽ sống"" của ông đã bán được hàng triệu bản và được xếp vào danh sách ""mười cuốn sách
có ảnh hưởng nhất ở Mỹ"".",Sách tiếng Việt/Sách kỹ năng sống/Sách kỹ năng mềm,647
276079799,sách nghệ thuật chọn bạn mà chơi,MARISA G. FRANCO,99500,1,OFFICIAL_STORE,0.0,0,16.0,https://tiki.vn/sach-nghe-thuat-chon-ban-ma-choi-p276079799.html?spid=276079800,https://salt.tikicdn.com/cache/280x280/ts/product/82/36/70/a4b0a96e0a1789cd02914f57b8a972f7.jpg,"Cuốn sách Chọn bạn mà chơi đưa ra những hướng dẫn rõ ràng và thực tế để xây dựng và duy trì các mối quan hệ bạn bè bền chặt, giúp chúng ta trở thành phiên bản hạnh phúc và trọn vẹn nhất của chính mình. Với những nghiên cứu sâu sắc và lời khuyên cụ thể, cuốn sách là một tài liệu quý giá cho bất kỳ ai muốn nâng cao chất lượng các mối quan hệ bạn bè của mình.
Tầm quan trọng của tình bạn: Tiến sĩ Franco nhấn mạnh tình bạn là một phần thiết yếu trong cuộc sống, nó có tầm quan trọng ngang bằng oxi, thức ăn và nước uống. Trong thế giới hối hả và con người ngày càng xa cách như hiện nay, tình bạn có những ưu điểm mà những mối quan hệ như gia đình và tình yêu không có được, giúp chúng ta có một đời sống tinh thần khoẻ mạnh.
Các loại tình bạn: Cuốn sách phân loại tình bạn thành ba nhóm chính: người quen, bạn bè thông thường và bạn thân. Mỗi loại tình bạn đều có lợi ích và cách thức riêng, và chúng ta cần đối xử, kỳ vọng khác nhau với mỗi cấp độ thân thiết khác nhau.
Lợi ích của các mối quan hệ bạn bè: Tác giả đưa ra nhiều lợi ích của tình bạn thuần khiết, như cảm giác thuộc về, kết nối sâu sắc hơn với người khác và cải thiện sức khoẻ tâm lý. Nghiên cứu còn cho thấy tình bạn có thể giúp chúng ta sống lâu hơn.
Thách thức trong các mối quan hệ bạn bè: Cuốn sách cũng đề cập đến những thách thức và xung đột có thể xảy ra trong tình bạn, cung cấp các cách thức để giải quyết xung đột và duy trì tình bạn lành mạnh.",Sách tiếng Việt/Sách kỹ năng sống/Sách tư duy - Kỹ năng sống,765
2316583,sách em đẹp,CHÚY,58800,1,OFFICIAL_STORE,4.2,30,542.0,https://tiki.vn/sach-em-dep-p2316583.html?spid=2337707,https://salt.tikicdn.com/cache/280x280/ts/product/08/0b/7c/a38e7534f02ee822bcf5ce74d9e9cd7b.jpg,"Em Đẹp là tác phẩm viết về phụ nữ thứ tư của Chuý. Nếu những cuốn sách trước Chuý dành các trang viết để trải lòng về những nỗi niềm của chị em về tình yêu, hôn nhân, các mối quan hệ xã hội thì với Em Đẹp, Chuý lại chỉ nói về chuyện làm đẹp của chị em.
Giống đa phần phụ nữ Việt, Chuý đã từng có suy nghĩ rằng hạnh phúc tức là làm chồng con vui, gia đình chồng vừa lòng, làm tròn bổn phận, được khen là vợ hiền dâu thảo... Cô từng tự vấn bản thân vì không làm được điều đó nên mãi không thấy hạnh phúc, cho đến một ngày cô hiểu ra, hạnh phúc là khiến cho bản thân được hạnh phúc trước tiên rồi sau đó mới mang đến hạnh phúc và niềm vui cho người khác.
Một trong những điều khiến phụ nữ cảm thấy vui và hạnh phúc đó chính là cơ thể khoẻ mạnh, thân hình đẹp. “Không có phụ nữ xấu, chỉ có phụ nữ không biết làm đẹp” – Em Đẹp một lần nữa khẳng định lại câu nói ấy. Hình thức khi bạn sinh ra có thể không thay đổi nhưng nếu biết cách chăm sóc, ăn vận, trau chuốt thì bạn sẽ dần đẹp lên – đẹp một vẻ đẹp khác biệt và tự tin với chính mình.
Một người phụ nữ “đẹp” là khi họ biết trân quý cơ thể mình, chăm chút cho sức khoẻ, ăn uống đúng cách và không ngừng khiến bản thân trở nên thú vị hơn bằng những cuốn sách, bộ phim. Chuẩn mực của cái đẹp là do con người tạo ra và hình mẫu đó không dùng dành cho số đông, mỗi người phụ nữ sẽ đẹp theo cách của riêng họ, tự xây dựng giá trị bản thân qua từng ngày.
Cuốn sách gồm 7 phần: Tập luyện không chỉ để giảm cân – Ăn uống: Đẹp bền vững – Hãy đi nhiều nơi và sống nhiều hơn một cuộc đời – Bạn có đang bỏ qua sự kỳ quặc của bản thân? – Bạn có biết nấu 5 món ăn – Chúng ta chỉ thực sự nghèo khi không có nổi một giấc mơ – Bạn làm gì khi không biết làm gì? Bạn không cần đọc theo thứ tự mà chỉ cần lật giở một phần bất kỳ và bắt đầu hành trình khám phá vẻ đẹp tiềm ẩn của bản thân.",Sách tiếng Việt/Sách kỹ năng sống/Sách tư duy - Kỹ năng sống,89
150553700,sách đời ngắn đừng ngủ dài,ROBIN SHARMA,71250,7734,TRUSTED_STORE,5.0,3,59.0,https://tiki.vn/sach-doi-ngan-dung-ngu-dai-free-bookcare-p150553700.html?spid=150553701,https://salt.tikicdn.com/cache/280x280/ts/product/18/10/10/79938aa995315bda5f9b2be2fed6dee4.jpg,"“Mọi lựa chọn đều giá trị. Mọi bước đi đều quan trọng. Cuộc sống vẫn diễn ra theo cách của nó, không phải theo cách của ta. Hãy kiên nhẫn. Tin tưởng. Hãy giống như người thợ cắt đá, đều đặn từng nhịp, ngày qua ngày. Cuối cùng, một nhát cắt duy nhất sẽ phá vỡ tảng đá và lộ ra viên kim cương. Người tràn đầy nhiệt huyết và tận tâm với việc mình làm không bao giờ bị chối bỏ. Sự thật là thế.”
Bằng những lời chia sẻ thật ngắn gọn, dễ hiểu về những trải nghiệm và suy ngẫm trong đời, Robin Sharma tiếp tục phong cách viết của ông từ cuốn sách Điều vĩ đại đời thường để mang đến cho độc giả những bài viết như lời tâm sự, vừa chân thành vừa sâu sắc.",Sách tiếng Việt/Sách kỹ năng sống/Sách tư duy - Kỹ năng sống,464
278424386,sách bức tranh cuộc đời,HUỲNH MINH THIỆN,184300,1,OFFICIAL_STORE,0.0,0,2.0,https://tiki.vn/sach-buc-tranh-cuoc-doi-p278424386.html?spid=278424387,https://salt.tikicdn.com/cache/280x280/ts/product/c5/dd/a2/6d6da6c9d302a62e60816615e7a60e79.png,"Bạn đã bao giờ dừng lại và tự hỏi: ""Liệu có một sợi dây vô hình nào đang kết nối mọi thứ trong vũ trụ này, và cả cuộc đời mình?"" Có khi nào bạn cảm thấy mình đang đứng trước một bức tranh còn dang dở, khao khát cầm cọ và tự tay tô vẽ những gam màu rực rỡ nhất? Nếu bạn đang tìm kiếm lời giải cho những câu hỏi sâu thẳm về sự tồn tại, về năng lượng kết nối vạn vật, và cách mình có thể làm chủ thực tại, thì ""Bức Tranh Cuộc Đời"" của tác giả Huỳnh Minh Thiện chính là món quà dành cho bạn.
Không chỉ là một cuốn sách lý thuyết về Luật hấp dẫn, ""Bức Tranh Cuộc Đời"" là một lời mời gọi chân thành, dẫn dắt bạn đi sâu vào thế giới nội tâm để khám phá mối liên hệ kỳ diệu giữa tâm thức, năng lượng rung động và thực tại bạn đang kiến tạo. Cuốn sách sẽ mở ra những góc nhìn mới mẻ và sâu sắc về:
Vũ trụ không tĩnh lặng: Trong bức tranh toàn cảnh của vũ trụ, mọi thứ không phải là những thực thể tĩnh lặng, mà là những dao động không ngừng nghỉ. Từ những hạt hạ nguyên tử nhỏ bé đến những thiên hà khổng lồ, tất cả đều được tạo nên từ năng lượng, mang những tần số rung đặc trưng. Đó là một bản giao hưởng vũ trụ, một điệu nhảy vĩnh cửu của năng lượng, nơi mà mọi thứ kết nối và tương tác với nhau.
Sức mạnh kiến tạo thực tại của ý thức: Mỗi suy nghĩ, cảm xúc của bạn không chỉ là những dòng chảy vô hình mà chúng đều mang một tần số năng lượng riêng biệt, âm thầm định hình cuộc sống bạn đang trải nghiệm. Chúng ta không chỉ là những người quan sát thụ động của vũ trụ, mà còn là những người kiến tạo tích cực. Bằng cách thay đổi tần số rung động của bản thân, chúng ta có thể thay đổi thực tại mà mình trải nghiệm. Bằng cách nhận thức được sức mạnh của năng lượng rung động, chúng ta có thể kiến tạo một cuộc sống hạnh phúc, ý nghĩa và hài hoà. Qua cuốn sách này, bạn sẽ trở thành người nghệ sĩ tài ba, vẽ nên bức tranh cuộc đời bằng những nét vẽ của năng lượng rung động.
Giải mã bản ngã và tự do đích thực: Nhận diện và tháo gỡ ""bản ngã"" – những nỗi sợ hãi, những niềm tin giới hạn đang giam hãm bạn trong vòng luẩn quẩn của lo âu và sự tìm kiếm không ngừng bên ngoài. Dựa trên những triết lý sâu sắc từ đạo Phật, bạn sẽ học cách buông bỏ, tìm thấy sự bình an và đủ đầy ngay trong từng khoảnh khắc hiện tại.
Chuyển hoá năng lượng – Chuyển hoá cuộc đời: ""Bức Tranh Cuộc Đời"" không chỉ dừng lại ở việc cung cấp kiến thức, mà còn là một cuốn cẩm nang thực hành, giúp bạn thay đổi tần số rung động của bản thân, từ đó thay đổi thực tại. Bạn sẽ học cách sống trọn vẹn trong hiện tại, ""là"" điều bạn mong muốn, và chứng kiến vũ trụ phản ánh điều đó một cách kỳ diệu trong cuộc sống của bạn.
Hãy để ""Bức Tranh Cuộc Đời"" trở thành người bạn đồng hành, giúp bạn thức tỉnh, vượt qua giới hạn của tâm trí và thực sự làm chủ cuộc đời mình.",Sách tiếng Việt/Sách kỹ năng sống/Sách kỹ năng mềm,826
106362540,sách bản thiết kế trí tuệ,RAY KURZWEIL,161000,126688,NONE,0.0,0,,https://tiki.vn/sach-ban-thiet-ke-tri-tue-p106362540.html?spid=118375965,https://salt.tikicdn.com/cache/280x280/ts/product/fb/78/c2/d91325560b33dcd3d12c8ad081d082fe.jpg,"Bản thiết kế Trí tuệ là một cuốn sách viết về não bộ trên cả bình diện con người và nhân tạo. Trong cuốn sách, tác giả Kurzweil đã trình bày khám phá thú vị của mình về kỹ nghệ đảo ngược não bộ, với mục tiêu chế tạo những cỗ máy thông minh.
Kurzweil mô tả nhiều thí nghiệm tưởng tượng thú vị đã dẫn đến kết luận về một hệ thống nhận dạng mẫu hình phân cấp trong não bộ. Dựa trên kết luận này, ông đã đưa ra Thuyết Tư duy Nhận dạng Mẫu hình (PRTM) của mình. Theo Kurzweil, tân vỏ não (neocortex) của con người là cơ quan chịu trách nhiệm cho hầu hết các khía cạnh của tư duy. Bên cạnh đó, nhiều khía cạnh lý thú của tư duy con người như khả năng sáng tạo hay tình yêu cũng được phân tích chi tiết.",Sách tiếng Việt/Sách kỹ năng sống/Sách tư duy - Kỹ năng sống,359
10118596,sách hacker lược sử,STEVEN LEVY,259000,295057,NONE,0.0,58,,https://tiki.vn/sach-hacker-luoc-su-p10118596.html?spid=207290554,https://salt.tikicdn.com/cache/280x280/ts/product/a9/23/d7/7d8612e8ba7e475a5cbab2c6cae7dcc6.jpg,"Cuốn sách nói về những nhân vật, cỗ máy, sự kiện định hình cho văn hoá và đạo đức hacker từ những hacker đời đầu ở đại học MIT.
Câu chuyện hấp dẫn bắt đầu từ các phòng thí nghiệm nghiên cứu máy tính đầu tiên đến các máy tính gia đình.
Tập hợp tài liệu cập nhật từ các tin tặc nổi tiếng như Bill Gates, Mark Zuckerberg, Richard Stallman…
Những sự thật về cuộc sống và con đường trở thành “tin tặc” của những con người đã thay đổi lịch sử phát triển của ngành Công nghệ.
Cuốn  sách của Steven Levy ghi lại những chiến công của các tin tặc thời kỳ đầu trong cuộc cách mạng máy tính - những kẻ mê máy tính thông minh và lập dị từ cuối những năm 1950 đến đầu thập niên 1980, dám mạo hiểm, bẻ cong quy tắc và đẩy thế giới vào một hướng đi hoàn toàn mới.",Sách tiếng Việt/Sách kỹ năng sống/Sách tư duy - Kỹ năng sống,135
